country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Andhra Pradesh",Eluru,"District Court, Eluru - APPCB","22-09-2026 22:00:00",16.711754,81.092095,SO2,10,18,13
India,"Andhra Pradesh",Guntur,"Rajendra Nagar North, Guntur - APPCB","22-09-2026 22:00:00",16.316553,80.413302,NO2,23,84,40
India,"Andhra Pradesh",Kadapa,"Yerramukkapalli, Kadapa - APPCB","22-09-2026 22:00:00",14.465052,78.824187,PM2.5,57,77,67
India,"Andhra Pradesh",Kadapa,"Yerramukkapalli, Kadapa - APPCB","22-09-2026 22:00:00",14.465052,78.824187,NO2,20,29,24
India,"Andhra Pradesh",Kadapa,"Yerramukkapalli, Kadapa - APPCB","22-09-2026 22:00:00",14.465052,78.824187,NH3,4,8,5
India,"Andhra Pradesh",Kakinada,"Rama Rao Peta, Kakinada - APPCB","22-09-2026 22:00:00",16.962488,82.229513,PM2.5,18,66,37
India,"Andhra Pradesh",Kakinada,"Rama Rao Peta, Kakinada - APPCB","22-09-2026 22:00:00",16.962488,82.229513,SO2,10,11,10
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","22-09-2026 22:00:00",26.446912,91.439057,SO2,1,8,8
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","22-09-2026 22:00:00",26.987634,94.636574,NO2,8,15,12
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","22-09-2026 22:00:00",26.987634,94.636574,SO2,7,9,8
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","22-09-2026 22:00:00",26.146529,87.454184,PM2.5,2,183,73
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","22-09-2026 22:00:00",26.146529,87.454184,OZONE,37,39,38
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","22-09-2026 22:00:00",25.5626095,84.663264,PM2.5,33,43,36
India,"Andhra Pradesh",Vijayawada,"HB Colony, Vijayawada - APPCB","22-09-2026 22:00:00",16.536107,80.594233,NO2,20,31,22
India,"Andhra Pradesh",Vijayawada,"HB Colony, Vijayawada - APPCB","22-09-2026 22:00:00",16.536107,80.594233,NH3,4,7,4
India,"Andhra Pradesh",Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","22-09-2026 22:00:00",16.554731,80.64911,SO2,9,18,11
India,"Andhra Pradesh",Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","22-09-2026 22:00:00",16.509717,80.612222,PM2.5,NA,NA,NA
India,"Andhra Pradesh",Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","22-09-2026 22:00:00",16.509717,80.612222,SO2,NA,NA,NA
India,"Andhra Pradesh",Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","22-09-2026 22:00:00",17.72,83.3,PM10,19,86,45
India,"Arunachal Pradesh",Naharlagun,"Naharlagun, Naharlagun - APSPCB","22-09-2026 22:00:00",27.103358,93.679645,PM10,7,77,41
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","22-09-2026 22:00:00",26.10887,91.589544,PM10,18,60,43
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","22-09-2026 22:00:00",26.10887,91.589544,NO2,13,41,16
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","22-09-2026 22:00:00",26.10887,91.589544,OZONE,9,13,12
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","22-09-2026 22:00:00",26.1875,91.744194,NH3,1,1,1
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","22-09-2026 22:00:00",26.1875,91.744194,CO,13,43,27
India,"Andhra Pradesh",Kurnool,"Sita Rama Nagar, Kurnool - APPCB","22-09-2026 22:00:00",15.83411,78.028546,SO2,6,7,7
